"Node_Id:ID(Node)",":LABEL","name","tokens","documentation","Project"
"0","Project","AndResGuard","AndResGuard","None"
"95","Method","wrap","private static String wrap(String explanation, int lineWidth, String hangingIndent) {
    int explanationLength = explanation.length();
    StringBuilder sb = new StringBuilder(explanationLength * 2);
    int index = 0;

    while (index < explanationLength) {
      int lineEnd = explanation.indexOf('\n', index);
      int next;

      if (lineEnd != -1 && (lineEnd - index) < lineWidth) {
        next = lineEnd + 1;
      } else {
        // Line is longer than available width; grab as much as we can
        lineEnd = Math.min(index + lineWidth, explanationLength);
        if (lineEnd - index < lineWidth) {
          next = explanationLength;
        } else {
          // then back up to the last space
          int lastSpace = explanation.lastIndexOf(' ', lineEnd);
          if (lastSpace > index) {
            lineEnd = lastSpace;
            next = lastSpace + 1;
          } else {
            // No space anywhere on the line: it contains something wider than
            // can fit (like a long URL) so just hard break it
            next = lineEnd + 1;
          }
        }
      }
      if (sb.length() > 0) {
        sb.append(hangingIndent);
      } else {
        lineWidth -= hangingIndent.length();
      }
      sb.append(explanation.substring(index, lineEnd));
      sb.append('\n');
      index = next;
    }

    return sb.toString();
  }","None"
"96","Field","explanation","None","None"
"97","Field","lineWidth","None","None"
"98","Field","hangingIndent","None","None"
"99","Field","explanationLength","None","None"
"100","Field","sb","None","None"
"101","Field","index","None","None"
"102","Field","lineEnd","None","None"
"103","Field","next","None","None"
"104","Field","lastSpace","None","None"
"105","Method","run","private void run(String[] args) {
    synchronized (CliMain.class) {
      if (args.length < 1) {
        goToError();
      }
      final ReadArgs readArgs = new ReadArgs(args).invoke();
      final File configFile = readArgs.getConfigFile();
      final File signatureFile = readArgs.getSignatureFile();
      final File mappingFile = readArgs.getMappingFile();
      final String keypass = readArgs.getKeypass();
      final String storealias = readArgs.getStorealias();
      final String storepass = readArgs.getStorepass();
      final String signedFile = readArgs.getSignedFile();
      final File outputFile = readArgs.getOutputFile();
      final File finalApkFile = readArgs.getFinalApkFile();
      final String apkFileName = readArgs.getApkFileName();
      final InputParam.SignatureType signatureType = readArgs.getSignatureType();
      loadConfigFromXml(configFile, signatureFile, mappingFile, keypass, storealias, storepass);

      //对于repackage模式，不管之前的东东，直接return
      if (signedFile != null) {
        ResourceRepackage repackage = new ResourceRepackage(config.mZipalignPath,
            config.m7zipPath,
            new File(signedFile)
        );
        try {
          if (outputFile != null) {
            repackage.setOutDir(outputFile);
          }
          repackage.repackageApk();
        } catch (IOException | InterruptedException e) {
          e.printStackTrace();
        }
        return;
      }
      System.out.printf(""[AndResGuard] begin: %s, %s, %s\n"", outputFile, finalApkFile, apkFileName);
      resourceProguard(outputFile, finalApkFile, apkFileName, signatureType);
      System.out.printf(""[AndResGuard] done, total time cost: %fs\n"", diffTimeFromBegin());
      System.out.printf(""[AndResGuard] done, you can go to file to find the output %s\n"", mOutDir.getAbsolutePath());
      clean();
    }
  }","None"
"106","Field","args","None","None"
"107","Field","readArgs","None","None"
"108","Field","configFile","None","None"
"109","Field","signatureFile","None","None"
"110","Field","mappingFile","None","None"
"111","Field","keypass","None","None"
"112","Field","storealias","None","None"
"113","Field","storepass","None","None"
"114","Field","signedFile","None","None"
"115","Field","outputFile","None","None"
"116","Field","finalApkFile","None","None"
"117","Field","apkFileName","None","None"
"118","Field","signatureType","None","None"
"119","Field","repackage","None","None"
"120","Method","loadConfigFromXml","private void loadConfigFromXml(
      File configFile, File signatureFile, File mappingFile, String keypass, String storealias, String storepass) {
    if (configFile == null) {
      configFile = new File(mRunningLocation + File.separator + TypedValue.CONFIG_FILE);
      if (!configFile.exists()) {
        System.err.printf(""the config file %s does not exit"", configFile.getAbsolutePath());
        printUsage(System.err);
        System.exit(ERRNO_USAGE);
      }
    }
    try {
      //不需要检查命令行的设置
      if (!mSetSignThroughCmd) {
        signatureFile = null;
      }
      if (!mSetMappingThroughCmd) {
        mappingFile = null;
      }
      config = new Configuration(configFile,
          m7zipPath,
          mZipalignPath,
          mappingFile,
          signatureFile,
          keypass,
          storealias,
          storepass
      );
    } catch (IOException | ParserConfigurationException | SAXException e) {
      e.printStackTrace();
      goToError();
    }
  }","None"
"121","Field","configFile","None","None"
"122","Field","signatureFile","None","None"
"123","Field","mappingFile","None","None"
"124","Field","keypass","None","None"
"125","Field","storealias","None","None"
"126","Field","storepass","None","None"
"127","Method","diffTimeFromBegin","public double diffTimeFromBegin() {
    long end = System.currentTimeMillis();
    return (end - mBeginTime) / 1000.0;
  }","None"
"128","Field","end","None","None"
"129","Method","goToError","protected void goToError() {
    printUsage(System.err);
    System.exit(ERRNO_USAGE);
  }","None"
"130","Class","ReadArgs","ReadArgs","None"
"131","Field","args","None","None"
"132","Field","configFile","None","None"
"133","Field","outputFile","None","None"
"134","Field","finalApkFile","None","None"
"135","Field","apkFileName","None","None"
"136","Field","signatureFile","None","None"
"137","Field","mappingFile","None","None"
"138","Field","keypass","None","None"
"139","Field","storealias","None","None"
"140","Field","storepass","None","None"
"141","Field","signatureType","None","None"
"142","Field","signedFile","None","None"
"143","Field","args","None","None"
"144","Field","arg","None","None"
"145","Field","parent","None","None"
"146","Field","parent","None","None"
"147","Method","getConfigFile","public File getConfigFile() {
      return configFile;
    }","None"
"148","Method","getOutputFile","public File getOutputFile() {
      return outputFile;
    }","None"
"149","Method","getFinalApkFile","public File getFinalApkFile() {
      return finalApkFile;
    }","None"
"150","Method","getApkFileName","public String getApkFileName() {
      return apkFileName;
    }","None"
"151","Method","getSignatureFile","public File getSignatureFile() {
      return signatureFile;
    }","None"
"152","Method","getMappingFile","public File getMappingFile() {
      return mappingFile;
    }","None"
"153","Method","getKeypass","public String getKeypass() {
      return keypass;
    }","None"
"154","Method","getStorealias","public String getStorealias() {
      return storealias;
    }","None"
"155","Method","getStorepass","public String getStorepass() {
      return storepass;
    }","None"
"156","Method","getSignatureType","public InputParam.SignatureType getSignatureType() {
      return signatureType;
    }","None"
"157","Method","getSignedFile","public String getSignedFile() {
      return signedFile;
    }","None"
"158","Method","invoke","public ReadArgs invoke() {
      for (int index = 0; index < args.length; index++) {
        String arg = args[index];
        if (arg.equals(ARG_HELP) || arg.equals(""-h"")) {
          goToError();
        } else if (arg.equals(ARG_CONFIG)) {
          if (index == args.length - 1 || !args[index + 1].endsWith(TypedValue.XML_FILE)) {
            System.err.println(""Missing XML configuration file argument"");
            goToError();
          }
          configFile = new File(args[++index]);
          if (!configFile.exists()) {
            System.err.println(configFile.getAbsolutePath() + "" does not exist"");
            goToError();
          }
          System.out.printf(""special configFile file path: %s\n"", configFile.getAbsolutePath());
        } else if (arg.equals(ARG_OUT)) {
          if (index == args.length - 1) {
            System.err.println(""Missing output file argument"");
            goToError();
          }
          outputFile = new File(args[++index]);
          File parent = outputFile.getParentFile();
          if (parent != null && (!parent.exists())) {
            parent.mkdirs();
          }
          System.out.printf(""special output directory path: %s\n"", outputFile.getAbsolutePath());
        } else if (arg.equals(ARG_FINAL_APK_PATH)) {
          if (index == args.length - 1) {
            System.err.println(""Missing output file argument"");
            goToError();
          }
          finalApkFile = new File(args[++index]);
          File parent = finalApkFile.getParentFile();
          if (parent != null && (!parent.exists())) {
            parent.mkdirs();
          }
          System.out.printf(""special final apk file path: %s\n"", finalApkFile.getAbsolutePath());
        } else if (arg.equals(ARG_SIGNATURE)) {
          //需要检查是否有四个参数
          if (index == args.length - 1) {
            System.err.println(""Missing signature data argument, should be ""
                               + ARG_SIGNATURE
                               + "" signature_file_path storepass keypass storealias"");
            goToError();
          }

          //在后面设置的时候会检查文件是否存在
          signatureFile = new File(args[++index]);

          if (index == args.length - 1) {
            System.err.println(""Missing signature data argument, should be ""
                               + ARG_SIGNATURE
                               + "" signature_file_path storepass keypass storealias"");
            goToError();
          }

          storepass = args[++index];

          if (index == args.length - 1) {
            System.err.println(""Missing signature data argument, should be ""
                               + ARG_SIGNATURE
                               + "" signature_file_path storepass keypass storealias"");
            goToError();
          }

          keypass = args[++index];

          if (index == args.length - 1) {
            System.err.println(""Missing signature data argument, should be ""
                               + ARG_SIGNATURE
                               + "" signature_file_path storepass keypass storealias"");
            goToError();
          }
          storealias = args[++index];
          mSetSignThroughCmd = true;
        } else if (arg.equals(ARG_SIGNATURE_TYPE)) {
          if (index == args.length - 1) {
            System.err.println(""Missing signature type argument"");
            goToError();
          }

          if (VALUE_SIGNATURE_TYPE_V2.equalsIgnoreCase(args[++index])) {
            signatureType = InputParam.SignatureType.SchemaV2;
          } else {
            signatureType = InputParam.SignatureType.SchemaV1;
          }
        } else if (arg.equals(ARG_KEEPMAPPING)) {
          if (index == args.length - 1) {
            System.err.println(""Missing mapping file argument"");
            goToError();
          }
          //在后面设置的时候会检查文件是否存在
          mappingFile = new File(args[++index]);
          mSetMappingThroughCmd = true;
        } else if (arg.equals(ARG_7ZIP)) {
          if (index == args.length - 1) {
            System.err.println(""Missing 7zip path argument"");
            goToError();
          }
          m7zipPath = args[++index];
        } else if (arg.equals(ARG_ZIPALIGN)) {
          if (index == args.length - 1) {
            System.err.println(""Missing zipalign path argument"");
            goToError();
          }

          mZipalignPath = args[++index];
        } else if (arg.equals(ARG_REPACKAGE)) {
          //这个模式的话就直接干活了，不会再理其他命令！
          if (index == args.length - 1) {
            System.err.println(""Missing the signed apk file argument"");
            goToError();
          }
          signedFile = args[++index];
        } else {
          apkFileName = arg;
        }
      }
      return this;
    }","None"
"159","Field","arg","None","None"
"160","Field","parent","None","None"
"161","Field","parent","None","None"
"162","Package","apksigner","apksigner","None"
"163","Class","HexEncoding","HexEncoding","Hexadecimal encoding where each byte is represented by two hexadecimal digits"
"164","Field","HEX_DIGITS","None","None"
"165","Field","data","None","None"
"166","Field","offset","None","None"
"167","Field","length","None","None"
"168","Field","result","None","None"
"169","Field","b","None","None"
"170","Field","data","None","None"
"171","Field","data","None","None"
"172","Method","encode","public static String encode(byte[] data, int offset, int length) {
    StringBuilder result = new StringBuilder(length * 2);
    for (int i = 0; i < length; i++) {
      byte b = data[offset + i];
      result.append(HEX_DIGITS[(b >>> 4) & 0x0f]);
      result.append(HEX_DIGITS[b & 0x0f]);
    }
    return result.toString();
  }","Encodes the provided data as a hexadecimal string"
"173","Field","data","None","None"
"174","Field","offset","None","None"
"175","Field","length","None","None"
"176","Field","result","None","None"
"177","Field","b","None","None"
"178","Method","encode","public static String encode(byte[] data) {
    return encode(data, 0, data.length);
  }","Encodes the provided data as a hexadecimal string"
"179","Field","data","None","None"
"180","Method","encodeRemaining","public static String encodeRemaining(ByteBuffer data) {
    return encode(data.array(), data.arrayOffset() + data.position(), data.remaining());
  }","Encodes the remaining bytes of the provided {@link ByteBuffer} as a hexadecimal string"
"181","Field","data","None","None"
"182","Class","ApkSignerTool","ApkSignerTool","Command-line tool for signing APKs and for checking whether an APK's signature are expected to verify on Android devices"
"183","Field","VERSION","None","None"
"184","Field","HELP_PAGE_GENERAL","None","None"
"185","Field","HELP_PAGE_SIGN","None","None"
"186","Field","HELP_PAGE_VERIFY","None","None"
"187","Field","params","None","None"
"188","Field","cmd","None","None"
"189","Field","params","None","None"
"190","Field","outputApk","None","None"
"191","Field","inputApk","None","None"
"192","Field","verbose","None","None"
"193","Field","v1SigningEnabled","None","None"
"194","Field","v2SigningEnabled","None","None"
"195","Field","v3SigningEnabled","None","None"
"196","Field","minSdkVersion","None","None"
"197","Field","minSdkVersionSpecified","None","None"
"198","Field","maxSdkVersion","None","None"
"199","Field","signers","None","None"
"200","Field","signerParams","None","None"
"201","Field","optionsParser","None","None"
"202","Field","optionName","None","None"
"203","Field","optionOriginalForm","None","None"
"204","Field","signerConfigs","None","None"
"205","Field","signerNumber","None","None"
"206","Field","v1SigBasename","None","None"
"207","Field","keyFileName","None","None"
"208","Field","delimiterIndex","None","None"
"209","Field","signerConfig","None","None"
"210","Field","tmpOutputApk","None","None"
"211","Field","apkSignerBuilder","None","None"
"212","Field","apkSigner","None","None"
"213","Field","msg","None","None"
"214","Field","params","None","None"
"215","Field","inputApk","None","None"
"216","Field","minSdkVersion","None","None"
"217","Field","minSdkVersionSpecified","None","None"
"218","Field","maxSdkVersion","None","None"
"219","Field","maxSdkVersionSpecified","None","None"
"220","Field","printCerts","None","None"
"221","Field","verbose","None","None"
"222","Field","warningsTreatedAsErrors","None","None"
"223","Field","optionsParser","None","None"
"224","Field","optionName","None","None"
"225","Field","optionOriginalForm","None","None"
"226","Field","apkVerifierBuilder","None","None"
"227","Field","apkVerifier","None","None"
"228","Field","result","None","None"
"229","Field","msg","None","None"
"230","Field","verified","None","None"
"231","Field","warningsEncountered","None","None"
"232","Field","signerCerts","None","None"
"233","Field","signerNumber","None","None"
"234","Field","sha256","None","None"
"235","Field","sha1","None","None"
"236","Field","md5","None","None"
"237","Field","encodedCert","None","None"
"238","Field","publicKey","None","None"
"239","Field","keySize","None","None"
"240","Field","dsaParams","None","None"
"241","Field","encodedKey","None","None"
"242","Field","warningsOut","None","None"
"243","Field","signerName","None","None"
"244","Field","signerName","None","None"
"245","Field","page","None","None"
"246","Field","line","None","None"
"247","Field","file","None","None"
"248","Field","result","None","None"
"249","Field","in","None","None"
"250","Field","out","None","None"
"251","Field","buf","None","None"
"252","Field","chunkSize","None","None"
"253","Field","name","None","None"
"254","Field","keystoreFile","None","None"
"255","Field","keystoreKeyAlias","None","None"
"256","Field","keystorePasswordSpec","None","None"
"257","Field","keyPasswordSpec","None","None"
"258","Field","keystoreType","None","None"
"259","Field","keystoreProviderName","None","None"
"260","Field","keystoreProviderClass","None","None"
"261","Field","keystoreProviderArg","None","None"
"262","Field","keyFile","None","None"
"263","Field","certFile","None","None"
"264","Field","v1SigFileBasename","None","None"
"265","Field","privateKey","None","None"
"266","Field","certs","None","None"
"267","Field","ks","None","None"
"268","Field","file","None","None"
"269","Field","passwords","None","None"
"270","Field","lastFailure","None","None"
"271","Field","ks","None","None"
"272","Field","keyAlias","None","None"
"273","Field","passwords","None","None"
"274","Field","lastFailure","None","None"
"275","Field","encryptedPrivateKeyInfo","None","None"
"276","Field","passwords","None","None"
"277","Field","keyFactory","None","None"
"278","Field","lastKeySpecException","None","None"
"279","Field","lastKeyException","None","None"
"280","Field","decryptionKeySpec","None","None"
"281","Field","decryptionKey","None","None"
"282","Field","spec","None","None"
"283","Field","passwordRetriever","None","None"
"284","Field","passwordRetriever","None","None"
"285","Field","ksType","None","None"
"286","Field","ks","None","None"
"287","Field","ksProviderClass","None","None"
"288","Field","ksProvider","None","None"
"289","Field","keystorePasswords","None","None"
"290","Field","keystorePasswordSpec","None","None"
"291","Field","keyAlias","None","None"
"292","Field","key","None","None"
"293","Field","aliases","None","None"
"294","Field","entryAlias","None","None"
"295","Field","entryKey","None","None"
"296","Field","keyPasswords","None","None"
"297","Field","keyPasswords","None","None"
"298","Field","certChain","None","None"
"299","Field","passwordRetriver","None","None"
"300","Field","privateKeyBlob","None","None"
"301","Field","keySpec","None","None"
"302","Field","encryptedPrivateKeyInfo","None","None"
"303","Field","passwordSpec","None","None"
"304","Field","keyPasswords","None","None"
"305","Field","certs","None","None"
"306","Field","certList","None","None"
"307","Field","serialVersionUID","None","None"
"308","Field","message","None","None"
"309","Method","main","public static void main(String[] params) throws Exception {
    if ((params.length == 0) || (""--help"".equals(params[0])) || (""-h"".equals(params[0]))) {
      printUsage(HELP_PAGE_GENERAL);
      return;
    } else if (""--version"".equals(params[0])) {
      System.out.println(VERSION);
      return;
    }

    String cmd = params[0];
    try {
      if (""sign"".equals(cmd)) {
        sign(Arrays.copyOfRange(params, 1, params.length));
        return;
      } else if (""verify"".equals(cmd)) {
        verify(Arrays.copyOfRange(params, 1, params.length));
        return;
      } else if (""help"".equals(cmd)) {
        printUsage(HELP_PAGE_GENERAL);
        return;
      } else if (""version"".equals(cmd)) {
        System.out.println(VERSION);
        return;
      } else {
        throw new ParameterException(""Unsupported command: "" + cmd + "". See --help for supported commands"");
      }
    } catch (ParameterException | OptionsParser.OptionsException e) {
      System.err.println(e.getMessage());
      System.exit(1);
      return;
    }
  }","None"
"310","Field","params","None","None"
"311","Field","cmd","None","None"
